OUTLETSKYREFNUMBER,VIEWINGCARDNUMBER,ADDPRODUCT,REMOVEPRODUCT,OVERRIDEPRICE
180884700905,000789421930,RCD14_ALC_FRE_O,,
180884700910,000717253314,RCD14_ALC_FRE_O,,
180884700910,000782383574,RCD14_ALC_FRE_O,,
180884700922,000590034005,RCD14_ALC_FRE_O,,
180884700976,000804583813,RCD14_ALC_FRE_O,,
180884700977,000762567261,RCD14_ALC_FRE_O,,
180884700979,000804567873,RCD14_ALC_FRE_O,,
180884700980,000804567824,RCD14_ALC_FRE_O,,
180884700981,000804579738,RCD14_ALC_FRE_O,,
180884700983,000603357088,RCD14_ALC_FRE_O,,
180884700983,000753161355,RCD14_ALC_FRE_O,,
180884700984,000598886745,RCD14_ALC_FRE_O,,
180884700987,000804581510,RCD14_ALC_FRE_O,,
